[21272:16524:0328/175948.107:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[21272:14156:0328/175948.144:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[21272:16524:0328/175948.160:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[21272:6660:0328/175950.945:WARNING:leveldb_database.cc(141)] Unable to open D:\GameJamGit\GameJam1\GamJamMovement\Saved\webcache_6613\Default\shared_proto_db\metadata: IO error: D:\GameJamGit\GameJam1\GamJamMovement\Saved\webcache_6613\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[21272:6660:0328/175950.946:WARNING:leveldb_database.cc(141)] Unable to open D:\GameJamGit\GameJam1\GamJamMovement\Saved\webcache_6613\Default\shared_proto_db\metadata: IO error: D:\GameJamGit\GameJam1\GamJamMovement\Saved\webcache_6613\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[21272:6660:0328/175950.948:WARNING:leveldb_database.cc(141)] Unable to open D:\GameJamGit\GameJam1\GamJamMovement\Saved\webcache_6613\Default\shared_proto_db\metadata: IO error: D:\GameJamGit\GameJam1\GamJamMovement\Saved\webcache_6613\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[21272:6660:0328/175950.949:WARNING:leveldb_database.cc(141)] Unable to open D:\GameJamGit\GameJam1\GamJamMovement\Saved\webcache_6613\Default\shared_proto_db\metadata: IO error: D:\GameJamGit\GameJam1\GamJamMovement\Saved\webcache_6613\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[21272:6660:0328/175951.606:WARNING:value_store_frontend.cc(47)] Reading ahfgeienlihckogmohjhadlkjgocpleb.alarms from  failed: IO error: .../MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[21272:6660:0328/175951.608:WARNING:value_store_frontend.cc(47)] Reading mhjfbmdgcfjbbpaeojofohoefgiehjai.alarms from  failed: IO error: .../MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[26992:16820:0328/175952.946:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-2FF1D9304E5DB8E82EA539792FF97E71 will be ignored
[7564:26376:0328/175954.386:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 6-9E54FB65E539E5B8E665C099008C0DC2 will be ignored
[20036:26908:0328/175954.699:ERROR:shared_image_manager.cc(224)] SharedImageManager::ProduceSkia: Trying to Produce a Skia representation from a non-existent mailbox.
[21272:19532:0328/175954.826:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[21272:19532:0328/175957.801:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[21272:16524:0328/175959.694:ERROR:device_event_log_impl.cc(196)] [17:59:59.694] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[21272:19532:0328/184635.421:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=72})
[21272:19532:0328/184636.419:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=73})
[21272:19532:0328/184640.420:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=74})
[21272:19532:0328/184642.427:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=75})
[21272:19532:0328/184645.425:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=76})
[21272:19532:0328/184646.433:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=75})
[21272:19532:0328/184653.435:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=74})
[21272:19532:0328/184657.443:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=73})
[21272:19532:0328/184659.443:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=71})
[21272:19532:0328/184703.444:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=72})
[21272:19532:0328/184707.450:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=73})
[21272:19532:0328/184709.452:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=74})
[21272:19532:0328/184713.452:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=75})
[21272:19532:0328/184716.454:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=76})
[21272:19532:0328/184718.454:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=77})
[21272:19532:0328/184720.455:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=78})
[21272:19532:0328/184721.455:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=77})
[21272:19532:0328/184722.463:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=78})
[21272:19532:0328/184723.458:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=77})
[21272:19532:0328/184726.463:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=76})
[21272:19532:0328/184731.465:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=77})
[21272:19532:0328/184733.466:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=78})
[21272:19532:0328/184734.466:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=77})
[21272:19532:0328/184737.476:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=78})
[21272:19532:0328/184740.476:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=77})
[21272:19532:0328/184742.476:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=76})
[21272:19532:0328/184744.478:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=75})
[21272:19532:0328/184745.479:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=76})
[21272:19532:0328/184746.479:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=77})
[21272:19532:0328/184749.814:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=76})
[21272:19532:0328/184751.813:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=77})
[21272:19532:0328/184752.812:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=78})
[21272:16524:0328/184753.046:VERBOSE1:device_event_log_impl.cc(198)] [18:47:53.047] Display: EVENT: screen_win.cc:893 Displays updated, count: 3
[21272:16524:0328/184753.046:VERBOSE1:device_event_log_impl.cc(198)] [18:47:53.047] Display: EVENT: screen_win.cc:895 Display[1058126647] bounds=[0,0 2560x1440], workarea=[0,0 2560x1392], scale=1, rotation=0, panel_rotation=0 external detected
[21272:16524:0328/184753.046:VERBOSE1:device_event_log_impl.cc(198)] [18:47:53.047] Display: EVENT: screen_win.cc:895 Display[3177282012] bounds=[-2560,0 2560x1440], workarea=[-2560,0 2560x1392], scale=1, rotation=0, panel_rotation=0 external detected
[21272:16524:0328/184753.046:VERBOSE1:device_event_log_impl.cc(198)] [18:47:53.047] Display: EVENT: screen_win.cc:895 Display[2334975743] bounds=[2560,0 1080x1920], workarea=[2560,0 1080x1872], scale=1, rotation=90, panel_rotation=90 external detected
[21272:19532:0328/184753.486:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=77})
[21272:19532:0328/184754.486:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=78})
[21272:19532:0328/184755.489:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=76})
[21272:19532:0328/184756.489:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=75})
[21272:19532:0328/184759.498:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=76})
[21272:19532:0328/184801.498:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=75})
[21272:19532:0328/184802.498:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=74})
[21272:19532:0328/184804.498:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=76})
[21272:19532:0328/184805.498:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=77})
[21272:19532:0328/184806.497:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=76})
[21272:19532:0328/184807.497:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=77})
[21272:19532:0328/184812.506:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=78})
[21272:19532:0328/184814.505:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=77})
[21272:19532:0328/184815.501:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=76})
[21272:19532:0328/184817.510:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=75})
[21272:19532:0328/184818.508:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=74})
[21272:19532:0328/184823.511:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=73})
[21272:19532:0328/184824.510:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=74})
[21272:19532:0328/184825.510:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=75})
[21272:19532:0328/184826.512:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=76})
[21272:19532:0328/184829.513:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=77})
[21272:19532:0328/184830.514:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=76})
[21272:19532:0328/184836.523:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=00004C9C001C6D40}, {new_limit=75})
